Frequency_Hz, Magnitude _dB, Magnitude (V/V), Vout (Vpeak), Vin(Vpeak), Phase_Rad
100,47.343705,232.90845,1.083705,0.004653,-0.014018
116.6,47.35819,233.297183,1.085245,0.004652,-0.016617
135.9,47.344672,232.934391,1.087219,0.004667,-0.017008
158.5,47.337894,232.752678,1.089337,0.00468,-0.020394
184.8,47.351222,233.110113,1.092289,0.004686,-0.024129
215.4,47.343011,232.889839,1.095862,0.004705,-0.027835
251.2,47.355542,233.226071,1.099584,0.004715,-0.031029
292.9,47.3518,233.12562,1.103424,0.004733,-0.038042
341.5,47.35442,233.195939,1.107368,0.004749,-0.045641
398.1,47.314275,232.120632,1.110991,0.004786,-0.052571
464.2,47.334986,232.674774,1.1141,0.004788,-0.06125
541.2,47.346528,232.984156,1.11653,0.004792,-0.069473
631,47.358838,233.314585,1.117956,0.004792,-0.081687
735.6,47.328472,232.500347,1.118484,0.004811,-0.098444
857.7,47.301813,231.787834,1.118062,0.004824,-0.113799
1000,47.287406,231.403697,1.116324,0.004824,-0.129839
1166,47.268172,230.891844,1.113151,0.004821,-0.149891
1359,47.217297,229.54342,1.108406,0.004829,-0.173286
1585,47.124134,227.094543,1.101573,0.004851,-0.210877
1848,47.121737,227.031881,1.09238,0.004812,-0.239009
2154,47.031272,224.679584,1.080561,0.004809,-0.276092
2512,46.87264,220.613453,1.065101,0.004828,-0.323962
2929,46.714186,216.625361,1.045381,0.004826,-0.363892
3415,46.649508,215.018287,1.020291,0.004745,-0.418951
3981,46.347322,207.666347,0.989814,0.004766,-0.493277
4642,46.033841,200.305111,0.952107,0.004753,-0.560383
5412,45.555408,189.570334,0.907492,0.004787,-0.6286
6310,45.071146,179.290511,0.855436,0.004771,-0.703131
7356,44.457897,167.068612,0.79799,0.004776,-0.781483
8577,43.7702,154.3512,0.735705,0.004766,-0.861048
10000,42.912632,139.840066,0.666667,0.004767,-0.935021
11660,42.003141,125.938076,0.600192,0.004766,-1.007796
13590,40.969938,111.814184,0.533645,0.004773,-1.072866
15850,39.936906,99.27623,0.472025,0.004755,-1.13834
18480,38.85838,87.683725,0.417245,0.004759,-1.19439
21540,37.716313,76.880402,0.363673,0.00473,-1.249329
25120,36.444714,66.41034,0.314509,0.004736,-1.293681
29290,35.150638,57.2179,0.270572,0.004729,-1.331179
34150,33.918721,49.651923,0.236574,0.004765,-1.36937
39810,32.731618,43.309273,0.206007,0.004757,-1.4025
46420,31.34123,36.902987,0.175883,0.004766,-1.428427
54120,30.060856,31.845113,0.151421,0.004755,-1.458144
63100,28.855682,27.719418,0.131627,0.004749,-1.481236
73560,27.519534,23.767129,0.113229,0.004764,-1.503127
85770,26.204243,20.427355,0.097335,0.004765,-1.525851
100000,24.86426,17.507051,0.083145,0.004749,-1.543656
