Frequency_Hz, Magnitude_dB, Magnitude (V/V), Vout (Vpeak), Vin(Vpeak), Phase_Rad
100,53.532839,474.943494,2.228758,0.004693,-0.02737
116.6,53.540303,475.351831,2.231636,0.004695,-0.0318
135.9,53.51796,474.130613,2.234808,0.004713,-0.037628
158.5,53.520454,474.266783,2.239195,0.004721,-0.040754
184.8,53.536126,475.12329,2.244637,0.004724,-0.044804
215.4,53.520642,474.277024,2.250755,0.004746,-0.057413
251.2,53.521277,474.311739,2.256901,0.004758,-0.066235
292.9,53.509845,473.687878,2.263411,0.004778,-0.077098
341.5,53.507237,473.545667,2.269427,0.004792,-0.09064
398.1,53.483874,472.273624,2.274393,0.004816,-0.108263
464.2,53.468519,471.4395,2.276982,0.00483,-0.123238
541.2,53.425404,469.10515,2.277008,0.004854,-0.143174
631,53.435104,469.629295,2.273909,0.004842,-0.167193
735.6,53.362697,465.730684,2.266648,0.004867,-0.196081
857.7,53.300977,462.433044,2.253793,0.004874,-0.22466
1000,53.271491,460.865892,2.235431,0.004851,-0.258826
1166,53.132305,453.539654,2.209367,0.004871,-0.301594
1359,52.983837,445.853156,2.174069,0.004876,-0.346593
1585,52.850667,439.06959,2.128384,0.004847,-0.403051
1848,52.642076,428.65097,2.070685,0.004831,-0.460438
2154,52.334445,413.734997,1.999192,0.004832,-0.520711
2512,51.921588,394.529443,1.912275,0.004847,-0.590826
2929,51.498345,375.765802,1.810656,0.004819,-0.660544
3415,51.041175,356.499361,1.695141,0.004755,-0.736317
3981,50.346695,329.105222,1.569613,0.004769,-0.824949
4642,49.57715,301.20176,1.435817,0.004767,-0.90293
5412,48.702676,272.354031,1.298598,0.004768,-0.97356
6310,47.745399,243.93266,1.163031,0.004768,-1.043283
7356,46.720973,216.794694,1.033129,0.004765,-1.112495
8577,45.611684,190.80255,0.91131,0.004776,-1.169308
10000,44.466687,167.237767,0.798913,0.004777,-1.222125
11660,43.275719,145.809545,0.695414,0.004769,-1.268497
13590,42.01607,126.125669,0.602188,0.004775,-1.309427
15850,40.783962,109.445548,0.520619,0.004757,-1.350563
18480,39.554978,95.00553,0.451697,0.004754,-1.38003
21540,38.199784,81.281028,0.385556,0.004743,-1.409975
25120,36.894673,69.941289,0.330798,0.00473,-1.434288
29290,35.58825,60.1745,0.284016,0.00472,-1.455649
34150,34.322614,52.015249,0.247918,0.004766,-1.472848
39810,33.008065,44.709854,0.213176,0.004768,-1.494069
46420,31.680264,38.371892,0.182973,0.004768,-1.510273
54120,30.35998,32.960897,0.156652,0.004753,-1.51942
63100,29.011924,28.222547,0.134533,0.004767,-1.538563
73560,27.766431,24.452404,0.116637,0.00477,-1.551472
85770,26.457185,21.030968,0.100191,0.004764,-1.56656
100000,25.031619,17.847647,0.084977,0.004761,-1.578721
