Frequency (Hz), Magnitude (dB), Magnitude (V/V), Vout (Vpeak), Vin(Vpeak), Phase (Rad)
100.000000,53.532839,474.943494,2.228758,0.004693,-0.027370
116.600000,53.540303,475.351831,2.231636,0.004695,-0.031800
135.900000,53.517960,474.130613,2.234808,0.004713,-0.037628
158.500000,53.520454,474.266783,2.239195,0.004721,-0.040754
184.800000,53.536126,475.123290,2.244637,0.004724,-0.044804
215.400000,53.520642,474.277024,2.250755,0.004746,-0.057413
251.200000,53.521277,474.311739,2.256901,0.004758,-0.066235
292.900000,53.509845,473.687878,2.263411,0.004778,-0.077098
341.500000,53.507237,473.545667,2.269427,0.004792,-0.090640
398.100000,53.483874,472.273624,2.274393,0.004816,-0.108263
464.200000,53.468519,471.439500,2.276982,0.004830,-0.123238
541.200000,53.425404,469.105150,2.277008,0.004854,-0.143174
631.000000,53.435104,469.629295,2.273909,0.004842,-0.167193
735.600000,53.362697,465.730684,2.266648,0.004867,-0.196081
857.700000,53.300977,462.433044,2.253793,0.004874,-0.224660
1000.000000,53.271491,460.865892,2.235431,0.004851,-0.258826
1166.000000,53.132305,453.539654,2.209367,0.004871,-0.301594
1359.000000,52.983837,445.853156,2.174069,0.004876,-0.346593
1585.000000,52.850667,439.069590,2.128384,0.004847,-0.403051
1848.000000,52.642076,428.650970,2.070685,0.004831,-0.460438
2154.000000,52.334445,413.734997,1.999192,0.004832,-0.520711
2512.000000,51.921588,394.529443,1.912275,0.004847,-0.590826
2929.000000,51.498345,375.765802,1.810656,0.004819,-0.660544
3415.000000,51.041175,356.499361,1.695141,0.004755,-0.736317
3981.000000,50.346695,329.105222,1.569613,0.004769,-0.824949
4642.000000,49.577150,301.201760,1.435817,0.004767,-0.902930
5412.000000,48.702676,272.354031,1.298598,0.004768,-0.973560
6310.000000,47.745399,243.932660,1.163031,0.004768,-1.043283
7356.000000,46.720973,216.794694,1.033129,0.004765,-1.112495
8577.000000,45.611684,190.802550,0.911310,0.004776,-1.169308
10000.000000,44.466687,167.237767,0.798913,0.004777,-1.222125
11660.000000,43.275719,145.809545,0.695414,0.004769,-1.268497
13590.000000,42.016070,126.125669,0.602188,0.004775,-1.309427
15850.000000,40.783962,109.445548,0.520619,0.004757,-1.350563
18480.000000,39.554978,95.005530,0.451697,0.004754,-1.380030
21540.000000,38.199784,81.281028,0.385556,0.004743,-1.409975
25120.000000,36.894673,69.941289,0.330798,0.004730,-1.434288
29290.000000,35.588250,60.174500,0.284016,0.004720,-1.455649
34150.000000,34.322614,52.015249,0.247918,0.004766,-1.472848
39810.000000,33.008065,44.709854,0.213176,0.004768,-1.494069
46420.000000,31.680264,38.371892,0.182973,0.004768,-1.510273
54120.000000,30.359980,32.960897,0.156652,0.004753,-1.519420
63100.000000,29.011924,28.222547,0.134533,0.004767,-1.538563
73560.000000,27.766431,24.452404,0.116637,0.004770,-1.551472
85770.000000,26.457185,21.030968,0.100191,0.004764,-1.566560
100000.000000,25.031619,17.847647,0.084977,0.004761,-1.578721
