Vin(V),Vout(V),Mag(V/V),,,Frequency_Hz,Mag_dB,Phase_degrees
2.5,2.48,0.992,,,100,-0.069766557,4.5
2.495,2.46,0.985971944,,,150,-0.122708857,6.7
2.491,2.43,0.975511843,,,250,-0.215349079,11
2.48,2.35,0.947580645,,,400,-0.467676371,16
2.47,2.18,0.882591093,,,650,-1.084809193,26
2.44,1.91,0.782786885,,,1000,-2.127129182,35
2.42,1.56,0.644628099,,,1500,-3.813815353,45
2.4,1.11,0.4625,,,2500,-6.697765258,60
2.38,0.772,0.324369748,,,4000,-9.779193134,70
2.38,0.512,0.21512605,,,6500,-13.34613992,80
2.37,0.351,0.148101266,,,10000,-16.58882459,90
2.37,0.149,0.062869198,,,25000,-24.03124155,90
2.37,0.077,0.032489451,,,50000,-29.76515242,90
2.37,0.051,0.021518987,,,75000,-33.3435634,90
2.37,0.039,0.016455696,,,100000,-35.67367478,90
