Frequency_Hz, Magnitude_dB, Magnitude (V/V), Vout (Vpeak), Vin(Vpeak), Phase_Rad
100,19.894566,9.879349,1.148738,0.116277,3.081479
116.6,19.885883,9.869477,1.149384,0.116458,3.071741
135.9,19.875161,9.857302,1.150354,0.116701,3.060555
158.5,19.861735,9.842077,1.151103,0.116957,3.04745
184.8,19.843239,9.821141,1.152018,0.1173,3.032677
215.4,19.824762,9.800272,1.15286,0.117635,3.014846
251.2,19.796774,9.768743,1.153383,0.118069,2.994385
292.9,19.761971,9.72968,1.15262,0.118464,2.970774
341.5,19.715783,9.678078,1.150659,0.118893,2.943341
398.1,19.654058,9.609547,1.14622,0.119279,2.912241
464.2,19.569825,9.516806,1.138896,0.119672,2.875782
541.2,19.459061,9.396217,1.127571,0.120003,2.835313
631,19.311698,9.238148,1.111574,0.120324,2.789462
735.6,19.12953,9.046414,1.089776,0.120465,2.737274
857.7,18.890846,8.801208,1.061642,0.120625,2.680612
1000,18.587672,8.499308,1.026052,0.120722,2.617857
1166,18.218046,8.14521,0.983206,0.12071,2.550711
1359,17.758042,7.725064,0.932509,0.120712,2.480585
1585,17.211235,7.253736,0.87513,0.120645,2.407275
1848,16.565391,6.733945,0.812037,0.120589,2.333195
2154,15.830406,6.187572,0.745302,0.120451,2.259395
2512,15.000893,5.623991,0.67697,0.120372,2.187576
2929,14.08319,5.060105,0.608865,0.120327,2.11993
3415,13.065076,4.500428,0.540422,0.120082,2.055822
3981,12.006296,3.983958,0.478545,0.120118,1.997093
4642,10.965952,3.534253,0.424264,0.120043,1.942927
5412,9.811172,3.094273,0.371316,0.120001,1.895072
6310,8.600423,2.691666,0.322722,0.119897,1.852066
7356,7.31316,2.320908,0.278252,0.119889,1.814407
8577,6.066504,2.010598,0.241061,0.119895,1.781329
10000,4.878961,1.753671,0.210243,0.119887,1.751946
11660,3.523343,1.500262,0.179685,0.119769,1.726259
13590,2.241209,1.294376,0.155064,0.119798,1.704128
15850,1.040934,1.127319,0.134958,0.119716,1.684136
18480,-0.250676,0.971552,0.116062,0.11946,1.666699
21540,-1.544658,0.83708,0.09962,0.119009,1.651496
25120,-2.896981,0.716392,0.084936,0.118561,1.637723
29290,-4.293619,0.609985,0.072327,0.118572,1.625672
34150,-5.599037,0.524866,0.062883,0.119808,1.614794
39810,-6.816585,0.456216,0.054666,0.119825,1.604429
46420,-8.124037,0.392462,0.047028,0.119827,1.595656
54120,-9.426802,0.3378,0.040474,0.119815,1.587312
63100,-10.834853,0.287248,0.034414,0.119804,1.581209
73560,-12.150401,0.246877,0.029581,0.119819,1.574449
85770,-13.462243,0.21227,0.025431,0.119804,1.569579
100000,-14.753447,0.182948,0.02191,0.119759,1.56929
