Frequency_Hz,Magnitude_dB, Magnitude (V/V), Vout (Vpeak), Vin(Vpeak),Phase_Rad
100,12.944937,4.438609,5.337429,1.2025,-0.135603
116.6,12.924758,4.428309,5.333222,1.204347,-0.157724
135.9,12.89854,4.414962,5.327916,1.206786,-0.183295
158.5,12.865949,4.398428,5.320319,1.209596,-0.213116
184.8,12.824354,4.377415,5.310722,1.21321,-0.24758
215.4,12.770591,4.350404,5.295216,1.217178,-0.287466
251.2,12.699833,4.315108,5.271386,1.221612,-0.333735
292.9,12.607288,4.269376,5.236446,1.226513,-0.387169
341.5,12.485396,4.209881,5.184495,1.231506,-0.448589
398.1,12.32503,4.132867,5.111166,1.236712,-0.518866
464.2,12.113122,4.033259,5.009579,1.242067,-0.59896
541.2,11.838223,3.907609,4.874036,1.247319,-0.689242
631,11.482365,3.750751,4.698516,1.252687,-0.790219
735.6,11.029987,3.560405,4.480362,1.258386,-0.901834
857.7,10.45861,3.333731,4.214669,1.26425,-1.023796
1000,9.746233,3.071225,3.903282,1.27092,-1.154843
1166,8.877229,2.778827,3.551174,1.27794,-1.293441
1359,7.840947,2.466308,3.170946,1.285706,-1.436655
1585,6.619909,2.142868,2.772827,1.293979,-1.58298
1848,5.188609,1.817316,2.366262,1.302064,-1.728498
2154,3.612107,1.515672,1.985846,1.310208,-1.870414
2512,1.833619,1.23504,1.627607,1.317858,-2.00687
2929,-0.037111,0.995737,1.319511,1.325161,-2.134892
3415,-2.10178,0.785075,1.045141,1.331263,-2.253757
3981,-4.251157,0.612974,0.819516,1.33695,-2.362
4642,-6.477765,0.474364,0.636401,1.341589,-2.460194
5412,-8.8333,0.361689,0.486534,1.345172,-2.54783
6310,-11.245254,0.273992,0.369131,1.347235,-2.625959
7356,-13.703643,0.206451,0.278705,1.349977,-2.694696
8577,-16.165779,0.155493,0.21017,1.351633,-2.755221
10000,-18.691346,0.116261,0.157301,1.353007,-2.808357
11660,-21.157975,0.087519,0.118374,1.352552,-2.855417
13590,-23.821833,0.064403,0.087154,1.353257,-2.896196
15850,-26.41893,0.047759,0.064609,1.352812,-2.93275
18480,-28.911425,0.035845,0.048399,1.350231,-2.964576
21540,-31.616223,0.026254,0.0353,1.34458,-2.99315
25120,-34.269725,0.019343,0.025946,1.3414,-3.019716
29290,-36.903774,0.014283,0.019157,1.341291,-3.042164
34150,-39.573979,0.010503,0.014239,1.355712,-3.065626
39810,-42.218922,0.007746,0.010504,1.356082,-3.08345
46420,-44.890257,0.005695,0.007723,1.356047,-3.102066
54120,-47.518052,0.004208,0.005706,1.35602,-3.127205
63100,-50.182471,0.003097,0.004199,1.355876,-3.145784
73560,-52.836051,0.002281,0.003093,1.355922,-3.169428
85770,-55.523217,0.001674,0.00227,1.356068,-3.202561
100000,-58.200627,0.00123,0.001668,1.355873,-3.230815
