Frequency_Hz,Magnitude_dB, Magnitude (V/V), Vout (Vpeak), Vin(Vpeak),Phase_Rad
100,6.346455,2.076456,2.494267,1.201213,3.073767
116.6,6.335826,2.073917,2.495154,1.203112,3.062819
135.9,6.32246,2.070728,2.496446,1.205589,3.050167
158.5,6.30653,2.066934,2.497976,1.208542,3.035385
184.8,6.28531,2.06189,2.498822,1.211909,3.018334
215.4,6.259208,2.055703,2.499412,1.215843,2.998563
251.2,6.224989,2.047621,2.498817,1.220352,2.97551
292.9,6.181378,2.037365,2.496277,1.225248,2.948904
341.5,6.122689,2.023646,2.489686,1.230298,2.918199
398.1,6.044993,2.005625,2.478561,1.235805,2.882991
464.2,5.942264,1.982044,2.460104,1.241196,2.842721
541.2,5.807659,1.951565,2.43254,1.246456,2.797291
631,5.633204,1.912759,2.39528,1.252264,2.746258
735.6,5.409499,1.864125,2.344677,1.25779,2.689884
857.7,5.123576,1.80376,2.279988,1.26402,2.628057
1000,4.767917,1.731394,2.199625,1.270436,2.561519
1166,4.328504,1.645982,2.103052,1.277688,2.49106
1359,3.803797,1.549494,1.99188,1.285504,2.418327
1585,3.181782,1.442411,1.866422,1.29396,2.343986
1848,2.465248,1.328197,1.729558,1.302185,2.270365
2154,1.657273,1.210218,1.586027,1.31053,2.198777
2512,0.759132,1.091331,1.438344,1.317972,2.130377
2929,-0.214809,0.975573,1.292785,1.325155,2.066302
3415,-1.250328,0.865932,1.152588,1.331038,2.007246
3981,-2.343069,0.763566,1.020715,1.336773,1.953513
4642,-3.471954,0.670505,0.899338,1.341283,1.905246
5412,-4.642302,0.585983,0.788048,1.344831,1.862109
6310,-5.851203,0.509847,0.686885,1.347237,1.823826
7356,-7.109095,0.441108,0.595405,1.349793,1.78992
8577,-8.355004,0.382164,0.516537,1.351612,1.76031
10000,-9.558619,0.332712,0.450127,1.3529,1.734348
11660,-10.888033,0.285495,0.386186,1.352691,1.711393
13590,-12.161331,0.246566,0.333709,1.353427,1.691354
15850,-13.473034,0.212006,0.286872,1.353131,1.673693
18480,-14.721355,0.183625,0.247928,1.350188,1.658068
21540,-16.016291,0.158192,0.212656,1.344287,1.644291
25120,-17.323003,0.136097,0.182588,1.341602,1.631847
29290,-18.649739,0.116819,0.156651,1.340972,1.620604
34150,-19.953355,0.100538,0.136245,1.35515,1.610432
39810,-21.168944,0.087408,0.118506,1.355775,1.600654
46420,-22.59382,0.074184,0.100587,1.355917,1.593145
54120,-23.892175,0.063884,0.086621,1.355909,1.58519
63100,-25.128494,0.055408,0.075129,1.355907,1.578095
73560,-26.423893,0.047732,0.064716,1.355831,1.57222
85770,-27.812813,0.040678,0.055151,1.355791,1.569775
100000,-29.014748,0.035421,0.048023,1.355778,1.567598
