Frequency_Hz,Magnitude_dB, Magnitude (V/V), Vout (Vpeak), Vin(Vpeak),Phase_Rad
100,-49.852554,0.003216,0.003919,1.218431,1.736276
116.6,-48.461953,0.003775,0.004606,1.220234,1.76943
135.9,-47.039568,0.004447,0.005437,1.2228,1.806053
158.5,-45.590909,0.005254,0.00644,1.225882,1.849684
184.8,-44.088914,0.006245,0.007678,1.229379,1.899019
215.4,-42.547443,0.007458,0.0092,1.233506,1.95231
251.2,-40.933232,0.008981,0.011117,1.23784,2.010181
292.9,-39.239674,0.010915,0.013563,1.242614,2.072333
341.5,-37.44422,0.013421,0.016749,1.247946,2.139086
398.1,-35.546031,0.016699,0.020931,1.253413,2.20785
464.2,-33.541013,0.021035,0.026476,1.258622,2.27712
541.2,-31.425126,0.026838,0.033913,1.263624,2.344831
631,-29.194528,0.034696,0.044018,1.2687,2.409235
735.6,-26.858595,0.045402,0.057824,1.273619,2.466268
857.7,-24.407232,0.060206,0.077005,1.279032,2.516358
1000,-21.845013,0.080863,0.103839,1.28414,2.558075
1166,-19.204338,0.109593,0.141273,1.289073,2.589001
1359,-16.339837,0.152408,0.197194,1.293852,2.608066
1585,-13.303216,0.216192,0.280354,1.296785,2.611344
1848,-10.037599,0.314862,0.407924,1.295566,2.594343
2154,-6.602761,0.467586,0.601047,1.285424,2.54588
2512,-2.616926,0.739867,0.927648,1.253804,2.442694
2929,1.809715,1.231646,1.447834,1.175528,2.227467
3415,6.00189,1.995696,2.073416,1.038944,1.779858
3981,7.474766,2.364495,2.365688,1.000505,1.113961
4642,6.109227,2.020512,2.221838,1.099641,0.652828
5412,4.523959,1.683441,1.994684,1.184885,0.422413
6310,3.311211,1.464066,1.810375,1.23654,0.297204
7356,2.412826,1.320205,1.67581,1.269356,0.220664
8577,1.744091,1.222375,1.576341,1.289572,0.169815
10000,1.24309,1.153864,1.50362,1.303117,0.134153
11660,0.868949,1.105217,1.44889,1.310955,0.108092
13590,0.588157,1.070059,1.409588,1.317299,0.088459
15850,0.37663,1.044315,1.379051,1.320532,0.073215
18480,0.219954,1.025647,1.354851,1.320972,0.06115
21540,0.102788,1.011904,1.332546,1.31687,0.051497
25120,0.01694,1.001952,1.317492,1.314925,0.04355
29290,-0.047036,0.994599,1.309146,1.316254,0.03705
34150,-0.093933,0.989244,1.316758,1.331075,0.031678
39810,-0.12814,0.985356,1.312695,1.332204,0.027158
46420,-0.154025,0.982424,1.309276,1.3327,0.023423
54120,-0.173309,0.980245,1.306819,1.333155,0.020264
63100,-0.186937,0.978708,1.304939,1.333328,0.017605
73560,-0.195342,0.977761,1.303635,1.333286,0.015391
85770,-0.202853,0.976916,1.302736,1.333518,0.013505
100000,-0.205443,0.976625,1.302031,1.333194,0.011904
