Frequency_Hz,Magnitude_dB, Magnitude (V/V), Vout (Vpeak), Vin(Vpeak),Phase_Rad
100,-51.743922,0.002587,0.003152,1.218285,1.69242
116.6,-50.378157,0.003028,0.003695,1.220304,1.721158
135.9,-48.938031,0.003574,0.004369,1.222615,1.750557
158.5,-47.541955,0.004197,0.005144,1.225681,1.785306
184.8,-45.999578,0.005012,0.006161,1.229296,1.820872
215.4,-44.503775,0.005954,0.007343,1.233306,1.862817
251.2,-42.90833,0.007155,0.008857,1.237882,1.907387
292.9,-41.222885,0.008687,0.010794,1.242586,1.954514
341.5,-39.475211,0.010623,0.013254,1.247736,2.000743
398.1,-37.633757,0.013131,0.016455,1.253135,2.047873
464.2,-35.692018,0.016421,0.020663,1.25832,2.092085
541.2,-33.678558,0.020705,0.026162,1.263571,2.128498
631,-31.571862,0.026388,0.033477,1.268648,2.15893
735.6,-29.410046,0.033845,0.043116,1.273909,2.178296
857.7,-27.196755,0.043668,0.055853,1.279046,2.185095
1000,-24.961468,0.056484,0.072541,1.284268,2.178106
1166,-22.715019,0.073156,0.09434,1.289569,2.155745
1359,-20.507882,0.09432,0.122084,1.294348,2.117802
1585,-18.250722,0.122311,0.158816,1.298466,2.064051
1848,-16.216243,0.154592,0.201054,1.300543,1.995152
2154,-14.151188,0.196083,0.254913,1.300022,1.912416
2512,-12.300715,0.242641,0.314294,1.295303,1.816643
2929,-10.554358,0.296676,0.38148,1.285849,1.71074
3415,-8.902357,0.358825,0.456352,1.271796,1.597102
3981,-7.522997,0.420582,0.526957,1.252925,1.477638
4642,-6.261699,0.486312,0.598473,1.230635,1.355565
5412,-5.167731,0.551586,0.665429,1.206392,1.234442
6310,-4.270589,0.611604,0.722795,1.181802,1.115911
7356,-3.527546,0.666228,0.77217,1.159018,1.002858
8577,-2.794689,0.724879,0.824528,1.13747,0.897112
10000,-2.28858,0.768371,0.859636,1.118778,0.798662
11660,-1.878199,0.805545,0.887187,1.101349,0.708373
13590,-1.546786,0.836875,0.910647,1.088151,0.626624
15850,-1.279625,0.863016,0.928656,1.07606,0.552474
18480,-1.06619,0.884485,0.94133,1.064269,0.48605
21540,-0.892102,0.902391,0.948976,1.051624,0.426915
25120,-0.756463,0.916594,0.955915,1.0429,0.373701
29290,-0.648659,0.928041,0.963381,1.038081,0.326618
34150,-0.573974,0.936055,0.978051,1.044866,0.285289
39810,-0.506402,0.943365,0.982823,1.041826,0.248515
46420,-0.452708,0.949215,0.986927,1.039729,0.216027
54120,-0.411259,0.953755,0.989755,1.037745,0.187576
63100,-0.378826,0.957323,0.992211,1.036442,0.162644
73560,-0.354563,0.960001,0.993794,1.035201,0.140866
85770,-0.3342,0.962255,0.995304,1.034346,0.121958
100000,-0.319859,0.963845,0.996272,1.033644,0.105347
