Frequency (Hz), Magnitude (dB), Magnitude (V/V), Vout (Vpeak), Vin(Vpeak), Phase (Rad)
100.000000,-0.031130,0.996422,0.480232,0.481956,-0.172894
116.600000,-0.042487,0.995120,0.480144,0.482499,-0.201393
135.900000,-0.056430,0.993524,0.480107,0.483236,-0.234527
158.500000,-0.073914,0.991526,0.480129,0.484232,-0.273602
184.800000,-0.098678,0.988704,0.479921,0.485405,-0.319558
215.400000,-0.131498,0.984975,0.479469,0.486783,-0.373089
251.200000,-0.174955,0.980059,0.478563,0.488301,-0.435691
292.900000,-0.232667,0.973569,0.476723,0.489666,-0.509528
341.500000,-0.315206,0.964361,0.473441,0.490938,-0.596428
398.100000,-0.434140,0.951246,0.467880,0.491860,-0.698877
464.200000,-0.613336,0.931823,0.458626,0.492182,-0.820558
541.200000,-0.805424,0.911441,0.448176,0.491723,-0.963517
631.000000,-1.209569,0.870005,0.426316,0.490015,-1.130002
735.600000,-1.818126,0.811136,0.395225,0.487249,-1.319786
857.700000,-2.742696,0.729231,0.352322,0.483142,-1.530576
1000.000000,-3.965221,0.633489,0.302820,0.478020,-1.753717
1166.000000,-5.584973,0.525716,0.248204,0.472126,-1.977596
1359.000000,-7.421243,0.425538,0.198288,0.465972,-2.191524
1585.000000,-9.722692,0.326487,0.150022,0.459505,-2.390746
1848.000000,-12.179997,0.246037,0.112506,0.457275,-2.569887
2154.000000,-14.855962,0.180801,0.081422,0.450337,-2.727422
2512.000000,-17.616304,0.131578,0.058321,0.443239,-2.865682
2929.000000,-20.552557,0.093837,0.040957,0.436477,-2.982250
3415.000000,-23.703865,0.065284,0.028074,0.430024,-3.078509
3981.000000,-26.808743,0.045663,0.019373,0.424272,-3.156491
4642.000000,-29.970058,0.031732,0.013307,0.419358,-3.217595
5412.000000,-33.186665,0.021911,0.009094,0.415022,-3.261968
6310.000000,-36.386039,0.015160,0.006235,0.411301,-3.288778
7356.000000,-39.495539,0.010598,0.004332,0.408739,-3.304620
8577.000000,-42.619323,0.007397,0.003007,0.406535,-3.312100
10000.000000,-45.725423,0.005173,0.002094,0.404854,-3.318506
11660.000000,-48.745289,0.003654,0.001473,0.403281,-3.324262
13590.000000,-51.734282,0.002590,0.001042,0.402291,-3.316301
15850.000000,-54.614970,0.001859,0.000746,0.401308,-3.332555
18480.000000,-57.963878,0.001264,0.000506,0.400123,-3.313179
21540.000000,-59.843505,0.001018,0.000406,0.398688,-3.320826
25120.000000,-62.625405,0.000739,0.000292,0.395726,-3.390077
29290.000000,-64.094308,0.000624,0.000247,0.396149,-3.446128
34150.000000,-65.620201,0.000524,0.000210,0.400518,-3.535801
39810.000000,-66.078914,0.000497,0.000199,0.400792,-3.598220
46420.000000,-65.612305,0.000524,0.000210,0.401089,-3.653888
54120.000000,-64.012684,0.000630,0.000253,0.401316,-3.594446
63100.000000,-62.134979,0.000782,0.000314,0.401624,-3.566154
73560.000000,-59.658598,0.001040,0.000418,0.402034,-3.610690
85770.000000,-57.406622,0.001348,0.000542,0.402337,-3.564477
100000.000000,-54.949287,0.001789,0.000720,0.402677,-3.534491
